,Student ID,"1.If the radius of earth were shrink by 1%, its mass remains the same, the acceleration due to gravity on the surface of earth would",2.A cable that can support a load W is cut into two equal parts. The maximum load can be supported by either part is,3.Boiling water is changing into steam. Under this condition the specific heat of water is,4.A difference of temperature of 25°C is equivalent to adifference to,5.Air bubble inside water appear silvery white due to,6.Sound wave do not show the phenomenon of,7.The heating element of an electric heater should be made with a material which should be,8.Equal charges are given to two surfaces of different radii. The potential will be,9.Wavelength of matter wave is independent of,10.When we apply reverse bias to a junction diode it,11.Doppler's effect is not observed when,"12.In myopia, image is formed","13.Two bulb 60W, 250V and 100W, 250V bulb are connected in series and supplied by 250V, which bulb will gives more brightness",14.Material used in suspension wire of moving coil galvanometer is,"15.In case of free fall, frequency of simple pendulum is","16.In horizontal circular motion, velocity of object is",17.The current gain of a transistor is,18.The normality of 10 % (w/v) acetic acid is:,19.The presence of three unpaired electrons in nitrogen atom is explained by:,20.Inorganic benzene is,21.Ammonicalcuperouschloride absorbs: ,22.Smelling salt is:,23.The salt solution used by barber as antiseptic is:,24.The hybridization of carbon in carbon monoxide is:,25.Pick out the isoelectronic structures from the following: I. CH3+ II. H3O+ III. NH3 IV. CH3-,26.Which of the following increases the acidity of acetic acid?,27.Which of the following doesn't show -M effect?,28.The aromatic compound doesn't have:,"29.The set M = {y:y ∈ R, y2 = 16} and set N = {y: 2y =6} then find the (M ∩ N).",30.The difference of two irrational number is,31.The function f(y) = sec [log(y2 + √ I + y2)] is,32.Find the domain of the function f(y) =√(y+1)(y-3)(y-2)/(y-2),"33.If the sum of the first 10 terms of an AP is equal to sum of first 7 terms, then which of the following statements is true?","34.The sum of three numbers in AP is 36 when the numbers are increased by 1, 4, 43 respectively, the resulting numbers are in GP. Find the numbers?","35.If a, b, c be in AP, b, c, a in HP then c, a, b are in:",36.There are 5 questions in each group A and B. in how many ways can a student answer 3 questions from group A and 2 from group B.,37.The number of terms whose value depends on a in the expansion of (a2 + 1/a2- 2)n is,38.The coefficient of y4in the expansion of (1-3y)2/(1-2y) is,39.Find the value of 1 + 3/1! + 5/2! + 7/3! +…...+ ∞,40.The equation for quadratic expression having one root (2 + v3 ) is,41.The root of the equation x2/3 + x1/3 – 2 = 0 are,42.The value of √i + √-I is,43.The value of i107 + i122 + i117 is equal to,44. Find the value of determinant          |■(1&〖log〗_a b&〖log〗_a c@〖log〗_b a&1&〖log〗_b c@〖log〗_c a&〖log〗_c b&1)|,45.If [■(6i&-3i&1@4&3i&-1@20&3&i)]=x+iy then ,"46.For what value of u do the simultaneous equations 5x +7y = 2, 15x + 21y = u have no solution?",47.lim 5x² + 7x + 20 x →∞ 6x3 + 15x + 22,"48.If f(k)= 1 - cosßk/ksink, k # 0 and f(0) = 1/2 if f(k) is continuous at k =0, then ß =",49.The phonemic transcription of the word – 'convince' is,50.The word – 'convocation' has its primary stress on the..... syllable.,51.Diligent:,52.Mitigate:,53.Erotic:,54.I am with you ….... what you say,55.I parted ..... him at the college gate.,56.Why have you broken ..... with your friend.,57. It ..... the people who matter.,58.He did nothing but ….....,59.It is no good.... over the spilt milk.,60.She will wash up before she .... to bed.
0,3402,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1,2179,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
2,1061,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1
3,2781,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
4,3688,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
5,530,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1
6,2400,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1
7,3035,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
8,1320,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1
9,3372,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0
10,3642,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1
11,2729,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1
